CLAIM_ID	Current wording	Original/source wording	Docs	Status	Evidence	Experiment artifact	Code path	Contract version	Evidence strength	Allowed scope	Forbidden wording	Known counterevidence	Needs follow-up?
C001	역할분리 2x2 1차판정: LL/LS 는 SHAPING 무력화율에서 hold 기준(Wilson 상한 0.0128)을 못 넘었다 (0/861, 상한 걸린 음성). SL/H_fin 은 검정 불가였다	"어느 역할도 못 넘었다" (§8.1)	docs/48 §8.1-8.2, docs/49 §8.4	DOWNGRADED	15런 x 500k, n=861/팔	results/m4_roles/*, roles_split --aggregate	mission_rollout regime 분해 + Wilson (shepherd/stats.py); 판정 P59	legacy (M2 frozen, w_kill 0.5, A2)	intervention (풀링 Wilson)	LL·LS 한정 음성 + "SHAPING 지표는 판별력 없음(SS 도 0/297)" 을 반드시 병기	"어느 역할을 학습시켜도 SS 를 못 넘는다"(SL 미검정); "SHAPING 구간에서 학습이 실패했다"(천장도 0)	docs/49 §8.4: SS 자신도 0/297 -> 지표 무판별	no
C002	(철회) LL 이 하드킬로 도피한다는 서술은 데이터에 하드킬이 0 이므로 철회됨. 비손실 0.80 은 0/0 퇴화값 평균	"발사가 망가지면 정책이 하드킬로 도피한다"; "정책은 스파인을 깨는 하드킬로 도망간다"	docs/48 정정9 §8.3, docs/50 §1.3(철회), ★docs/50 §5(B):183 잔존	RETRACTED	시드별 재검: LL s3 무력화 0/300, HARD_KILL 0	results/m4_roles/LL_*	nondestructive_frac = k/max(k+HK,1) (mission_rollout 집계)	legacy	exact replay (시드별 분해)	"LL 시드 1개가 완전 붕괴(0/300), 하드킬은 0" 만 허용	"하드킬 도피/대체 경로"; 비손실 0.80 을 하드킬 비율로 인용	docs/48 §8.3 시드 표	no — docs/50:183 잔존 문구 정정 완료 (2026-08-08, G04 해소)
C003	학습 열세의 결손은 발사 비트가 아니라 조준축이다: 관측은 충분(AUC 1.000, obs[60] 단일임계), 발사 비트는 게이트를 봄(AUC 0.57~0.995), 학습 조준은 게이트 개방률을 0.61x(SL)/0.23x(LL) 로 낮춘다	docs/48 §10-12	docs/48 §10-12, docs/50 §1	ACTIVE	fire_audit --probe/--policy/--aim, 6런 전부 방향 일치	fire_audit 출력 (P63 계열 테스트)	shepherd/scripts/fire_audit.py; obs[60]=v_shot_soft 채널; scripted aim=unit(nc-p_fin)	legacy	intervention(paired 궤적) + off-policy 진단	SL 수치(-35~42%)가 믿을 줄; LL 은 분포 밖이라 방향만	"발사 학습이 문제다"(§11 이 반증); LL 수치를 정량 인용	§12.2 off-policy 한계	no
C004	BC 보조손실(BCa)은 조준 격차의 24.5% 회복(4/5 시드 양), BCw 는 실패(-8.6%); 게이트 개방률과 성적이 양방향 같은 부호로 동조 — 매개는 관측됨(유의성 주장 없음)	docs/49 §8	docs/49 §8.1-8.6	ACTIVE	10런 x 500k + 기존 SL 대조	results/m4_roles/SL-BC*	train/bc_aim.py, mappo.py bc_lambda; 판정 fire_audit --aim gate_open_rate	legacy	intervention (조준만 다른 paired 팔)	"조준이 성적을 만든다"는 관측으로 기술; 1차 통과선(0.035) 미달 명기	"BC 로 조준 회복 완료"; "유의하다"(n=5 시드)	H_bc/H_rec 미통과 (docs/49 §8.1)	no
C005	(철회) "성형 채널이 구조적으로 무력하다" 는 도달가능집합 감사(SHAPING 111/122 접촉 가능)로 반증되어 철회됨	"1.2초 내 도달 불가 -> 성형 채널이 구조적으로 무력"	docs/52 §1(철회 문서), docs/50 §3 5번째; 원문 잔존 = review_prompt_shaping_channel.md:48	RETRACTED	contact_reachability n=200	results/contact_reachability.json	shepherd/scripts/contact_reachability.py; viability._feasible_limiter	legacy	necessary condition (낙관적)	철회 사실 자체만 인용	"구조적으로/물리적으로 무력·불가능" (인증 전 금지)	docs/52 §4	no (prompt 파일은 historical artifact)
C006	hold 궤적 기준 낙관적 접촉 도달성 검사에서 SHAPING 111/122 이 성형 영향관 접근 가능 — 단일 접촉 도달성만, 성공 상한 아님	docs/52 §4	docs/52 §4, §4.3, §5	ACTIVE	n=200 해석 검사	results/contact_reachability.json	contact_reachability.py (r_i(t) piecewise + r_shape 0.75)	legacy	necessary condition	"접촉 회랑 후보 존재" 까지; 낙관성 3종 병기	"성형 성공률 상한 91%"; "91% 판에서 NET_CAPTURE 가능"	§4.3: bad-tube 도달성과 별개	no
C007	SHAPING_NEEDED 라벨은 성형 필요성 분류이지 난도 축이 아니다 (a_lim = 0.35 x a_att 결합으로 SHAPING 판이 오히려 접근 쉬움)	docs/52 §4.1	docs/52 §4.1	ACTIVE	regime 별 a_lim 분해	results/contact_reachability.json	m4_config.py:198 CAPABILITY_RATIOS ("physics.a_lim_max": 0.35 x a_att)	legacy~v3 (비율 유지)	observation + 코드 확인	논문에서 SHAPING 성능을 "더 어려운 구간" 으로 부르지 않기	"SHAPING = 어려운 구간"	—	no
C008	성공 술어 = 선택적 압축: clean capture <=> (not boxed_in) ∧ v_shot_worst>=1 (발사 시점 동결). 봉쇄(boxed_in)는 포획이 아니다	docs/52 §1.2(철회2), §3.5	docs/52 §1.2·§3.5, docs/53 §0	ACTIVE	코드 판독 + R4 SPLIT	—	env.py:320 (_pending_capture), :292 clean_crossed; viability.py:186-201/441-457 (boxed -> v_soft=1.0 대리값)	all	exact (코드 계약)	봉쇄 최적화(min N_feasible)는 틀린 목적함수라는 규율 포함	"모든 탈출구 봉쇄 = 성공"	—	no
C009	robust-clean certificate(전 탈출을 net 안에)는 SHAPING 19판 중 witness 8, 전부 knife-edge(m_sel<=2.3cm) — Pareto frontier 의 가장 보수적 끝점 측정이며 legacy small-scale regime 한정	"clean capture 가 가능한 배치는 수 cm 폭뿐" (구판)	docs/52 §8.1b-e, docs/53 §2, docs/59 §0(재스코프)	DOWNGRADED	selective_snapshot_oracle + exact env replay	oracle 출력(세션 기록), ep9/ep30 perturbation	shepherd/scripts/selective_snapshot_oracle.py; 최종판정 env._vshot	legacy	witness + exact replay (성공측) / budget-한정 (실패측)	"발견된 witness 전부에서 반복된 구조"; 실패 11판 = NO_WITNESS_WITHIN_BUDGET	"협력 성형이 거의 불가능"; "모든 성공 배치가 수 cm"; NO_WITNESS 를 불가능으로	solver 시드 민감성 실측 (docs/52 §8.1e-1); docs/53 재해석	no
C010	고정 배치 snapshot 의 시간 support 는 흩어져 있고(연속 최대 2 tick) 인접 독립해는 v_max 초과 이동 — 연결 가능성 미검	docs/52 §8.1e	docs/52 §8.1e	ACTIVE	ep18 시각별 재최적화	세션 기록	temporal_support.py	legacy	observation (single-seed, 하한)	multi-seed 없이 support 폭 결론 금지 명기	"corridor 는 1 tick 뿐"(하한임); "연결 불가능 증명"	시드 민감성 (같은 tick no_witness 재현 실패)	no
